Designator,Footprint,Quantity,Value,LCSC Part #
"C13, C16, C19, C25",C_0402,4,100nF,C1525
"C17, C21",C_0603,2,10uF,C19702
"C18, C24",C_0402,2,12pF,C1547
C20,C_0402,1,1pF,C1550
C23,C_0603,1,22uF,C59461
D1,D_0805,1,Green,C2297
"D10, D9",SOD3715X145N,2,1N5819HW-7-F,
D2,D_0805,1,White,C34499
D5,D_0805,1,Yellow,C2296
"H22, H23, H24, H25","Hole, 3mm",4,~,
"J10, J9",PinHeader_1x04_P2.54mm_Horizontal,2,Conn_01x04_Pin,
J11,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,
"J13, J14, J15, J16",PinHeader_1x05_P2.54mm_Vertical,4,Conn_01x05_Socket,
J8,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,
R11,R_0603,1,47Ω,C23182
R14,R_0402,1,1MΩ,C26083
R15,R_0402,1,200kΩ,C25764
"R19, R7",R_0402,2,22Ω,C25092
R8,R_0402,1,10kΩ,C25744
R9,R_0402,1,75kΩ,C25798
"S3, S4",SW_TS-1088-AR02016,2,"Tactile Button, 160gf",C720477
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U6,SOT-23-5,1,TLV75801PDBV,
U7,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,D3V3XA4B10LP,
X1,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
